Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-09-03 09:30:00-04:00,153.75999450683594,154.57000732421875,153.63999938964844,154.20249938964844,3530795,0,0
2021-09-03 09:31:00-04:00,154.1999969482422,154.44000244140625,153.9499969482422,153.97999572753906,503514,0,0
2021-09-03 09:32:00-04:00,153.99989318847656,154.15989685058594,153.75999450683594,153.8300018310547,458345,0,0
2021-09-03 09:33:00-04:00,153.75,153.77000427246094,153.41990661621094,153.41990661621094,524227,0,0
2021-09-03 09:34:00-04:00,153.25,153.30999755859375,153.22500610351562,153.22500610351562,523360,0,0
2021-09-03 09:35:00-04:00,153.25,153.27000427246094,153.1999969482422,153.2100067138672,375796,0,0
2021-09-03 09:36:00-04:00,153.33999633789062,153.3800048828125,153.30999755859375,153.32000732421875,405459,0,0
2021-09-03 09:37:00-04:00,153.25,153.25,153.10000610351562,153.1649932861328,357262,0,0
2021-09-03 09:38:00-04:00,153.25,153.4199981689453,153.21009826660156,153.31649780273438,408498,0,0
2021-09-03 09:39:00-04:00,153.3791046142578,153.4011993408203,153.3699951171875,153.39219665527344,358235,0,0
2021-09-03 09:40:00-04:00,153.42999267578125,153.58999633789062,153.37010192871094,153.49000549316406,385633,0,0
2021-09-03 09:41:00-04:00,153.5,153.6697998046875,153.5,153.62989807128906,348883,0,0
2021-09-03 09:42:00-04:00,153.75,153.75,153.57000732421875,153.57000732421875,401879,0,0
2021-09-03 09:43:00-04:00,153.46499633789062,153.5,153.46499633789062,153.47999572753906,275237,0,0
2021-09-03 09:44:00-04:00,153.5,153.5,153.42010498046875,153.42010498046875,196551,0,0
2021-09-03 09:45:00-04:00,153.5,153.63999938964844,153.47999572753906,153.63999938964844,196041,0,0
2021-09-03 09:46:00-04:00,153.5,153.5,153.44000244140625,153.44000244140625,309365,0,0
2021-09-03 09:47:00-04:00,153.42999267578125,153.42999267578125,153.3000030517578,153.30999755859375,229985,0,0
2021-09-03 09:48:00-04:00,153.375,153.375,153.28140258789062,153.35499572753906,221555,0,0
2021-09-03 09:49:00-04:00,153.5,153.50999450683594,153.44000244140625,153.44000244140625,221399,0,0
2021-09-03 09:50:00-04:00,153.36740112304688,153.47000122070312,153.3383026123047,153.360107421875,233870,0,0
2021-09-03 09:51:00-04:00,153.33999633789062,153.41000366210938,153.3000030517578,153.41000366210938,231520,0,0
2021-09-03 09:52:00-04:00,153.375,153.3800048828125,153.28500366210938,153.28500366210938,231936,0,0
2021-09-03 09:53:00-04:00,153.42999267578125,153.47000122070312,153.38099670410156,153.41990661621094,245870,0,0
2021-09-03 09:54:00-04:00,153.5,153.52000427246094,153.5,153.50999450683594,301101,0,0
2021-09-03 09:55:00-04:00,153.5,153.56500244140625,153.45989990234375,153.49000549316406,216900,0,0
2021-09-03 09:56:00-04:00,153.5,153.76499938964844,153.49000549316406,153.75,395018,0,0
2021-09-03 09:57:00-04:00,154.0,154.0399932861328,153.9499969482422,154.0399932861328,478985,0,0
